time	V(vo)
0.000000000000000e+000	-2.553512e-003
5.851428405938872e-007	-2.535022e-003
1.170285681187774e-006	-2.493181e-003
1.755428521781662e-006	-2.427990e-003
2.340571362375549e-006	-2.339449e-003
2.925714202969436e-006	-2.227557e-003
3.510857043563323e-006	-2.092315e-003
4.095999884157209e-006	-1.933723e-003
6.811188959389855e-006	-1.057457e-003
9.884357686676927e-006	2.457231e-004
1.276048691296638e-005	1.709640e-003
1.626263678946710e-005	3.735794e-003
2.154078498806644e-005	7.079273e-003
2.887983734971752e-005	1.202784e-002
5.487827480743259e-005	3.012822e-002
7.955944140191296e-005	4.649165e-002
1.205745064356580e-004	7.015174e-002
1.822515370153801e-004	9.879311e-002
2.044425846439685e-004	1.062432e-001
2.209015819173833e-004	1.097899e-001
2.383012622217021e-004	1.120161e-001
2.606451785437428e-004	1.129056e-001
2.823287555110081e-004	1.113928e-001
3.175021127872629e-004	1.037395e-001
3.736547585350860e-004	8.171942e-002
4.396741015575655e-004	4.495607e-002
4.894412851348056e-004	1.157566e-002
5.338794801732791e-004	-2.003068e-002
5.784543763750344e-004	-5.014179e-002
6.333103980396094e-004	-8.198192e-002
6.812518338861656e-004	-1.038384e-001
7.037113576151014e-004	-1.111680e-001
7.203530338212378e-004	-1.147984e-001
7.376376438900331e-004	-1.170534e-001
7.603973329345832e-004	-1.180078e-001
7.819255240764828e-004	-1.165535e-001
8.168506680150221e-004	-1.090392e-001
8.726299214381051e-004	-8.721860e-002
9.412351096125068e-004	-4.898235e-002
9.910480651470119e-004	-1.554534e-002
1.035263105385920e-003	1.590495e-002
1.079594415362961e-003	4.582922e-002
1.132514237031217e-003	7.648613e-002
1.181567865462985e-003	9.881879e-002
1.203942411610638e-003	1.061204e-001
1.220526324451788e-003	1.097224e-001
1.237847219025459e-003	1.119686e-001
1.260475618478587e-003	1.129023e-001
1.282052892161352e-003	1.114296e-001
1.317056452754897e-003	1.038715e-001
1.372953731112534e-003	8.204085e-002
1.439397056472838e-003	4.511795e-002
1.489240274853464e-003	1.171716e-002
1.533660435059671e-003	-1.987635e-002
1.578214470325771e-003	-4.998815e-002
1.633040052581094e-003	-8.183664e-002
1.681183056791609e-003	-1.038099e-001
1.703661086933550e-003	-1.111548e-001
1.720315335731736e-003	-1.147917e-001
1.737592060628969e-003	-1.170486e-001
1.760380303805169e-003	-1.180074e-001
1.781897818016133e-003	-1.165572e-001
1.816805902484626e-003	-1.090524e-001
1.872559472234107e-003	-8.725070e-002
1.941208925508171e-003	-4.899752e-002
1.991031575825427e-003	-1.555693e-002
2.035247519916483e-003	1.589395e-002
2.079579346459805e-003	4.581955e-002
2.132496982487036e-003	7.647683e-002
2.181563615783154e-003	9.881702e-002
2.203939303976730e-003	1.061196e-001
2.220523993477013e-003	1.097220e-001
2.237844399566277e-003	1.119683e-001
2.260474565374686e-003	1.129023e-001
2.282051178805403e-003	1.114299e-001
2.317053684622712e-003	1.038723e-001
2.372949375810414e-003	8.204282e-002
2.439396028621837e-003	4.511844e-002
2.489241839167954e-003	1.171602e-002
2.533664401365008e-003	-1.987911e-002
2.578220842582960e-003	-4.999220e-002
2.633046809038224e-003	-8.184030e-002
2.681184644211510e-003	-1.038106e-001
2.703662247161091e-003	-1.111551e-001
2.720316205768820e-003	-1.147919e-001
2.737593112615214e-003	-1.170487e-001
2.760380696816492e-003	-1.180075e-001
2.781898457438708e-003	-1.165571e-001
2.816806935626071e-003	-1.090521e-001
2.872561098164128e-003	-8.724993e-002
2.941210165546226e-003	-4.891753e-002
2.994070051834224e-003	-1.358231e-002
3.000000000000000e-003	-9.328016e-003
