Freq.	V(vo)
1.00000000000000e+000	(3.51341522632728e+001,1.79996658718521e+002)
1.00230523807790e+000	(3.51341522632059e+001,1.79996651016071e+002)
1.00461579027840e+000	(3.51341522631387e+001,1.79996643295866e+002)
1.00693166885180e+000	(3.51341522630712e+001,1.79996635557864e+002)
1.00925288607668e+000	(3.51341522630034e+001,1.79996627802024e+002)
1.01157945425990e+000	(3.51341522629353e+001,1.79996620028305e+002)
1.01391138573668e+000	(3.51341522628669e+001,1.79996612236665e+002)
1.01624869287070e+000	(3.51341522627981e+001,1.79996604427064e+002)
1.01859138805412e+000	(3.51341522627291e+001,1.79996596599460e+002)
1.02093948370768e+000	(3.51341522626597e+001,1.79996588753812e+002)
1.02329299228075e+000	(3.51341522625900e+001,1.79996580890077e+002)
1.02565192625141e+000	(3.51341522625200e+001,1.79996573008215e+002)
1.02801629812647e+000	(3.51341522624496e+001,1.79996565108183e+002)
1.03038612044162e+000	(3.51341522623790e+001,1.79996557189939e+002)
1.03276140576140e+000	(3.51341522623080e+001,1.79996549253443e+002)
1.03514216667934e+000	(3.51341522622366e+001,1.79996541298650e+002)
1.03752841581801e+000	(3.51341522621650e+001,1.79996533325520e+002)
1.03992016582906e+000	(3.51341522620930e+001,1.79996525334010e+002)
1.04231742939330e+000	(3.51341522620207e+001,1.79996517324078e+002)
1.04472021922080e+000	(3.51341522619480e+001,1.79996509295681e+002)
1.04712854805090e+000	(3.51341522618750e+001,1.79996501248776e+002)
1.04954242865232e+000	(3.51341522618017e+001,1.79996493183322e+002)
1.05196187382322e+000	(3.51341522617280e+001,1.79996485099274e+002)
1.05438689639126e+000	(3.51341522616540e+001,1.79996476996591e+002)
1.05681750921366e+000	(3.51341522615797e+001,1.79996468875230e+002)
1.05925372517729e+000	(3.51341522615050e+001,1.79996460735147e+002)
1.06169555719872e+000	(3.51341522614300e+001,1.79996452576299e+002)
1.06414301822431e+000	(3.51341522613546e+001,1.79996444398642e+002)
1.06659612123026e+000	(3.51341522612789e+001,1.79996436202135e+002)
1.06905487922266e+000	(3.51341522612028e+001,1.79996427986732e+002)
1.07151930523761e+000	(3.51341522611264e+001,1.79996419752391e+002)
1.07398941234124e+000	(3.51341522610496e+001,1.79996411499068e+002)
1.07646521362983e+000	(3.51341522609724e+001,1.79996403226719e+002)
1.07894672222983e+000	(3.51341522608950e+001,1.79996394935300e+002)
1.08143395129794e+000	(3.51341522608171e+001,1.79996386624768e+002)
1.08392691402120e+000	(3.51341522607389e+001,1.79996378295078e+002)
1.08642562361706e+000	(3.51341522606603e+001,1.79996369946186e+002)
1.08893009333343e+000	(3.51341522605814e+001,1.79996361578048e+002)
1.09144033644876e+000	(3.51341522605021e+001,1.79996353190619e+002)
1.09395636627209e+000	(3.51341522604224e+001,1.79996344783855e+002)
1.09647819614318e+000	(3.51341522603424e+001,1.79996336357712e+002)
1.09900583943252e+000	(3.51341522602620e+001,1.79996327912144e+002)
1.10153930954141e+000	(3.51341522601812e+001,1.79996319447107e+002)
1.10407861990207e+000	(3.51341522601001e+001,1.79996310962556e+002)
1.10662378397766e+000	(3.51341522600186e+001,1.79996302458447e+002)
1.10917481526240e+000	(3.51341522599367e+001,1.79996293934733e+002)
1.11173172728159e+000	(3.51341522598544e+001,1.79996285391371e+002)
1.11429453359173e+000	(3.51341522597718e+001,1.79996276828313e+002)
1.11686324778056e+000	(3.51341522596887e+001,1.79996268245516e+002)
1.11943788346715e+000	(3.51341522596053e+001,1.79996259642934e+002)
1.12201845430196e+000	(3.51341522595215e+001,1.79996251020520e+002)
1.12460497396692e+000	(3.51341522594373e+001,1.79996242378230e+002)
1.12719745617551e+000	(3.51341522593528e+001,1.79996233716017e+002)
1.12979591467280e+000	(3.51341522592678e+001,1.79996225033836e+002)
1.13240036323556e+000	(3.51341522591824e+001,1.79996216331640e+002)
1.13501081567231e+000	(3.51341522590967e+001,1.79996207609384e+002)
1.13762728582343e+000	(3.51341522590105e+001,1.79996198867021e+002)
1.14024978756117e+000	(3.51341522589240e+001,1.79996190104504e+002)
1.14287833478977e+000	(3.51341522588370e+001,1.79996181321788e+002)
1.14551294144553e+000	(3.51341522587497e+001,1.79996172518826e+002)
1.14815362149688e+000	(3.51341522586619e+001,1.79996163695570e+002)
1.15080038894443e+000	(3.51341522585738e+001,1.79996154851975e+002)
1.15345325782109e+000	(3.51341522584852e+001,1.79996145987994e+002)
1.15611224219210e+000	(3.51341522583962e+001,1.79996137103579e+002)
1.15877735615512e+000	(3.51341522583069e+001,1.79996128198683e+002)
1.16144861384034e+000	(3.51341522582171e+001,1.79996119273259e+002)
1.16412602941049e+000	(3.51341522581269e+001,1.79996110327260e+002)
1.16680961706096e+000	(3.51341522580362e+001,1.79996101360638e+002)
1.16949939101987e+000	(3.51341522579452e+001,1.79996092373346e+002)
1.17219536554813e+000	(3.51341522578537e+001,1.79996083365337e+002)
1.17489755493953e+000	(3.51341522577618e+001,1.79996074336561e+002)
1.17760597352080e+000	(3.51341522576695e+001,1.79996065286972e+002)
1.18032063565173e+000	(3.51341522575768e+001,1.79996056216522e+002)
1.18304155572516e+000	(3.51341522574836e+001,1.79996047125162e+002)
1.18576874816716e+000	(3.51341522573900e+001,1.79996038012845e+002)
1.18850222743702e+000	(3.51341522572960e+001,1.79996028879521e+002)
1.19124200802737e+000	(3.51341522572015e+001,1.79996019725143e+002)
1.19398810446427e+000	(3.51341522571067e+001,1.79996010549662e+002)
1.19674053130724e+000	(3.51341522570113e+001,1.79996001353029e+002)
1.19949930314938e+000	(3.51341522569155e+001,1.79995992135196e+002)
1.20226443461741e+000	(3.51341522568193e+001,1.79995982896113e+002)
1.20503594037179e+000	(3.51341522567227e+001,1.79995973635733e+002)
1.20781383510678e+000	(3.51341522566256e+001,1.79995964354004e+002)
1.21059813355048e+000	(3.51341522565280e+001,1.79995955050880e+002)
1.21338885046497e+000	(3.51341522564300e+001,1.79995945726309e+002)
1.21618600064636e+000	(3.51341522563315e+001,1.79995936380243e+002)
1.21898959892486e+000	(3.51341522562326e+001,1.79995927012632e+002)
1.22179966016487e+000	(3.51341522561333e+001,1.79995917623426e+002)
1.22461619926504e+000	(3.51341522560334e+001,1.79995908212576e+002)
1.22743923115840e+000	(3.51341522559331e+001,1.79995898780032e+002)
1.23026877081238e+000	(3.51341522558324e+001,1.79995889325744e+002)
1.23310483322890e+000	(3.51341522557312e+001,1.79995879849661e+002)
1.23594743344451e+000	(3.51341522556295e+001,1.79995870351734e+002)
1.23879658653036e+000	(3.51341522555273e+001,1.79995860831911e+002)
1.24165230759241e+000	(3.51341522554247e+001,1.79995851290143e+002)
1.24451461177138e+000	(3.51341522553216e+001,1.79995841726379e+002)
1.24738351424294e+000	(3.51341522552180e+001,1.79995832140569e+002)
1.25025903021771e+000	(3.51341522551140e+001,1.79995822532661e+002)
1.25314117494141e+000	(3.51341522550095e+001,1.79995812902604e+002)
1.25602996369487e+000	(3.51341522549044e+001,1.79995803250347e+002)
1.25892541179416e+000	(3.51341522547989e+001,1.79995793575840e+002)
1.26182753459066e+000	(3.51341522546930e+001,1.79995783879031e+002)
1.26473634747115e+000	(3.51341522545865e+001,1.79995774159869e+002)
1.26765186585784e+000	(3.51341522544795e+001,1.79995764418301e+002)
1.27057410520854e+000	(3.51341522543721e+001,1.79995754654277e+002)
1.27350308101666e+000	(3.51341522542641e+001,1.79995744867744e+002)
1.27643880881134e+000	(3.51341522541556e+001,1.79995735058652e+002)
1.27938130415752e+000	(3.51341522540467e+001,1.79995725226946e+002)
1.28233058265602e+000	(3.51341522539372e+001,1.79995715372577e+002)
1.28528665994361e+000	(3.51341522538273e+001,1.79995705495491e+002)
1.28824955169313e+000	(3.51341522537168e+001,1.79995695595635e+002)
1.29121927361353e+000	(3.51341522536058e+001,1.79995685672959e+002)
1.29419584144998e+000	(3.51341522534943e+001,1.79995675727408e+002)
1.29717927098395e+000	(3.51341522533823e+001,1.79995665758930e+002)
1.30016957803328e+000	(3.51341522532698e+001,1.79995655767472e+002)
1.30316677845229e+000	(3.51341522531567e+001,1.79995645752982e+002)
1.30617088813183e+000	(3.51341522530432e+001,1.79995635715406e+002)
1.30918192299940e+000	(3.51341522529291e+001,1.79995625654691e+002)
1.31219989901920e+000	(3.51341522528145e+001,1.79995615570784e+002)
1.31522483219223e+000	(3.51341522526993e+001,1.79995605463631e+002)
1.31825673855640e+000	(3.51341522525836e+001,1.79995595333178e+002)
1.32129563418657e+000	(3.51341522524674e+001,1.79995585179372e+002)
1.32434153519466e+000	(3.51341522523507e+001,1.79995575002160e+002)
1.32739445772973e+000	(3.51341522522334e+001,1.79995564801486e+002)
1.33045441797808e+000	(3.51341522521156e+001,1.79995554577298e+002)
1.33352143216332e+000	(3.51341522519972e+001,1.79995544329540e+002)
1.33659551654643e+000	(3.51341522518783e+001,1.79995534058159e+002)
1.33967668742593e+000	(3.51341522517588e+001,1.79995523763100e+002)
1.34276496113786e+000	(3.51341522516388e+001,1.79995513444308e+002)
1.34586035405594e+000	(3.51341522515182e+001,1.79995503101729e+002)
1.34896288259164e+000	(3.51341522513971e+001,1.79995492735308e+002)
1.35207256319427e+000	(3.51341522512754e+001,1.79995482344990e+002)
1.35518941235103e+000	(3.51341522511532e+001,1.79995471930720e+002)
1.35831344658715e+000	(3.51341522510303e+001,1.79995461492442e+002)
1.36144468246594e+000	(3.51341522509070e+001,1.79995451030102e+002)
1.36458313658892e+000	(3.51341522507830e+001,1.79995440543643e+002)
1.36772882559584e+000	(3.51341522506585e+001,1.79995430033011e+002)
1.37088176616484e+000	(3.51341522505334e+001,1.79995419498149e+002)
1.37404197501251e+000	(3.51341522504077e+001,1.79995408939002e+002)
1.37720946889394e+000	(3.51341522502814e+001,1.79995398355513e+002)
1.38038426460288e+000	(3.51341522501546e+001,1.79995387747627e+002)
1.38356637897177e+000	(3.51341522500272e+001,1.79995377115287e+002)
1.38675582887188e+000	(3.51341522498992e+001,1.79995366458437e+002)
1.38995263121334e+000	(3.51341522497706e+001,1.79995355777021e+002)
1.39315680294529e+000	(3.51341522496414e+001,1.79995345070981e+002)
1.39636836105593e+000	(3.51341522495116e+001,1.79995334340262e+002)
1.39958732257261e+000	(3.51341522493812e+001,1.79995323584805e+002)
