time	V(vo)
0.000000000000000e+000	-2.553512e-003
2.279685435692558e-007	-2.584698e-003
4.559370871385115e-007	-2.724575e-003
6.839056307077672e-007	-2.973141e-003
9.118741742770230e-007	-3.330397e-003
1.139842717846279e-006	-3.796342e-003
1.367811261415534e-006	-4.370978e-003
1.595779804984790e-006	-5.054303e-003
3.013927370556686e-006	-1.086028e-002
4.642601738141095e-006	-2.087584e-002
7.060087927899018e-006	-4.134376e-002
9.934607846691051e-006	-7.235973e-002
1.401264838754476e-005	-1.253316e-001
1.908413862039735e-005	-2.003109e-001
2.518740379233545e-005	-2.985770e-001
3.236058174693788e-005	-4.197429e-001
4.136238063651223e-005	-5.748902e-001
5.282268416198088e-005	-7.720199e-001
6.872540253517184e-005	-1.038698e+000
9.291256211808744e-005	-1.414396e+000
1.412868812839186e-004	-2.065535e+000
1.809130240360391e-004	-2.492669e+000
2.034637590505175e-004	-2.669800e+000
2.201673762938960e-004	-2.759745e+000
2.374131816606629e-004	-2.815387e+000
2.603134714767021e-004	-2.839386e+000
2.817890824055300e-004	-2.804138e+000
3.166302092025462e-004	-2.620655e+000
3.722829459484742e-004	-2.087695e+000
4.401668773777692e-004	-1.161736e+000
4.885230824388905e-004	-3.662062e-001
5.313004030323401e-004	3.826620e-001
5.742305320814601e-004	1.101234e+000
6.274388329513677e-004	1.871260e+000
6.798164046890929e-004	2.471292e+000
7.026631391896022e-004	2.659430e+000
7.195673417790169e-004	2.751987e+000
7.366882271142845e-004	2.808341e+000
7.600425120526424e-004	2.834144e+000
7.813482221834360e-004	2.800444e+000
8.159177796510437e-004	2.620659e+000
8.711611359684870e-004	2.095155e+000
9.396609836805649e-004	1.164040e+000
9.881331102774649e-004	3.678552e-001
1.030887194751811e-003	-3.805787e-001
1.073802852742333e-003	-1.099450e+000
1.127041609456969e-003	-1.870927e+000
1.179693169236038e-003	-2.475170e+000
1.202573242163727e-003	-2.663948e+000
1.219499995821617e-003	-2.756793e+000
1.236606908075344e-003	-2.813227e+000
1.260012107564022e-003	-2.839235e+000
1.281298751894134e-003	-2.805708e+000
1.315837826318619e-003	-2.626336e+000
1.371035188907427e-003	-2.101581e+000
1.439694779521112e-003	-1.168490e+000
1.488177992563602e-003	-3.721815e-001
1.530922529819393e-003	3.760914e-001
1.573823968134884e-003	1.094741e+000
1.626978277979523e-003	1.865002e+000
1.679698395073130e-003	2.470073e+000
1.702577053966687e-003	2.658864e+000
1.719502851299456e-003	2.751699e+000
1.736610355817696e-003	2.808129e+000
1.760013396689658e-003	2.834129e+000
1.781300849398904e-003	2.800595e+000
1.815841216320889e-003	2.621205e+000
1.871040529238872e-003	2.096491e+000
1.939616503443822e-003	1.164672e+000
1.988102712674348e-003	3.683805e-001
2.030855733264424e-003	-3.800320e-001
2.073767061839636e-003	-1.098878e+000
2.127002556695146e-003	-1.870394e+000
2.179683807726919e-003	-2.475072e+000
2.202566413808569e-003	-2.663903e+000
2.219494880626031e-003	-2.756771e+000
2.236600731962827e-003	-2.813210e+000
2.260009798279231e-003	-2.839234e+000
2.281294994512341e-003	-2.805720e+000
2.315831753602700e-003	-2.626380e+000
2.371025622403405e-003	-2.101686e+000
2.439691791930197e-003	-1.168530e+000
2.488177709328388e-003	-3.721856e-001
2.530923996759441e-003	3.761173e-001
2.573823721825437e-003	1.094737e+000
2.626979223368726e-003	1.865013e+000
2.679699152701513e-003	2.470079e+000
2.702577606594313e-003	2.658868e+000
2.719503265281828e-003	2.751701e+000
2.736610855667023e-003	2.808130e+000
2.760013583585136e-003	2.834129e+000
2.781301153491927e-003	2.800593e+000
2.815841707797935e-003	2.621202e+000
2.871041303469974e-003	2.096482e+000
2.939617296592203e-003	1.162687e+000
2.991052007962740e-003	3.212508e-001
3.000000000000000e-003	1.637775e-001
