time	V(vout)
Step Information: X=10  (Run: 1/28)
0.000000000000000e+000	3.494794e+000
2.384329687574762e-003	3.494794e+000
4.000540625074728e-003	3.494794e+000
4.913626562574708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=10.75  (Run: 2/28)
0.000000000000000e+000	3.494794e+000
2.442923437574761e-003	3.494794e+000
4.103079687574725e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=11.5  (Run: 3/28)
0.000000000000000e+000	3.494794e+000
2.496634375074760e-003	3.494794e+000
4.195853125074723e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=12.25  (Run: 4/28)
0.000000000000000e+000	3.494794e+000
2.550345312574759e-003	3.494794e+000
4.293509375074721e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=13  (Run: 5/28)
0.000000000000000e+000	3.494794e+000
2.604056250074757e-003	3.494794e+000
4.386282812574719e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=13.75  (Run: 6/28)
0.000000000000000e+000	3.494794e+000
2.652884375074756e-003	3.494794e+000
4.474173437574718e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=14.5  (Run: 7/28)
0.000000000000000e+000	3.494794e+000
2.701712500074755e-003	3.494794e+000
4.557181250074716e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=15.25  (Run: 8/28)
0.000000000000000e+000	3.494794e+000
2.745657812574754e-003	3.494794e+000
4.640189062574714e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=16  (Run: 9/28)
0.000000000000000e+000	3.494794e+000
2.789603125074753e-003	3.494794e+000
4.718314062574712e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=16.75  (Run: 10/28)
0.000000000000000e+000	3.494794e+000
2.833548437574752e-003	3.494794e+000
4.801321875074711e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=17.5  (Run: 11/28)
0.000000000000000e+000	3.494794e+000
2.877493750074752e-003	3.494794e+000
4.879446875074709e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=18.25  (Run: 12/28)
0.000000000000000e+000	3.494794e+000
2.921439062574751e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=19  (Run: 13/28)
0.000000000000000e+000	3.494794e+000
2.960501562574750e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=19.75  (Run: 14/28)
0.000000000000000e+000	3.494794e+000
2.999564062574749e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=20.5  (Run: 15/28)
0.000000000000000e+000	3.494794e+000
3.038626562574748e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=21.25  (Run: 16/28)
0.000000000000000e+000	3.494794e+000
3.072806250074747e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=22  (Run: 17/28)
0.000000000000000e+000	3.494794e+000
3.111868750074747e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=22.75  (Run: 18/28)
0.000000000000000e+000	3.494794e+000
3.146048437574746e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=23.5  (Run: 19/28)
0.000000000000000e+000	3.494794e+000
3.180228125074745e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
4.996634375074706e-003	3.494794e+000
5.000000000000000e-003	3.494794e+000
Step Information: X=24.25  (Run: 20/28)
0.000000000000000e+000	3.494794e+000
3.219290625074744e-003	3.494794e+000
4.908743750074708e-003	3.494794e+000
