time	V(vout)
0.000000000000000e+000	-2.450469e-004
1.342500970907575e-006	-2.287861e-004
2.685001941815149e-006	-2.047300e-004
4.027502912722724e-006	-1.728786e-004
5.370003883630298e-006	-1.332319e-004
6.712504854537873e-006	-8.579003e-005
8.055005825445447e-006	-3.055286e-005
9.397506796353019e-006	3.247957e-005
1.902362286778160e-005	4.803584e-004
2.864973893921018e-005	9.228768e-004
3.827585501063876e-005	1.360035e-003
4.790197108206733e-005	1.791833e-003
5.752808715349591e-005	2.218270e-003
6.715420322492449e-005	2.639347e-003
7.678031929635305e-005	3.055064e-003
9.477697108206735e-005	3.806127e-003
1.127736228677817e-004	4.486398e-003
1.307702746534960e-004	5.095878e-003
1.487669264392103e-004	5.634566e-003
1.667635782249246e-004	6.102462e-003
1.847602300106389e-004	6.499566e-003
2.027568817963532e-004	6.825879e-003
2.282870157249246e-004	7.097190e-003
2.538171496534961e-004	7.187874e-003
2.793472835820675e-004	7.097931e-003
3.048774175106390e-004	6.827360e-003
3.304075514392104e-004	6.376163e-003
3.559376853677819e-004	5.744339e-003
3.814678192963533e-004	4.931887e-003
3.956977300106390e-004	4.421219e-003
4.099276407249248e-004	3.884604e-003
4.241575514392105e-004	3.322041e-003
4.383874621534962e-004	2.733532e-003
4.526173728677820e-004	2.119075e-003
4.668472835820677e-004	1.478672e-003
4.810771942963534e-004	8.123213e-004
4.936329978677819e-004	2.188022e-004
5.061888014392105e-004	-3.685807e-004
5.187446050106392e-004	-9.498274e-004
5.313004085820677e-004	-1.524938e-003
5.438562121534963e-004	-2.093912e-003
5.564120157249249e-004	-2.656750e-003
5.689678192963534e-004	-3.213452e-003
5.865459442963534e-004	-3.966752e-003
6.041240692963534e-004	-4.656008e-003
6.217021942963534e-004	-5.281222e-003
6.392803192963535e-004	-5.842393e-003
6.568584442963535e-004	-6.339521e-003
6.744365692963535e-004	-6.772607e-003
6.920146942963535e-004	-7.141650e-003
7.188004085820678e-004	-7.505350e-003
7.455861228677822e-004	-7.669040e-003
7.723718371534965e-004	-7.632720e-003
7.991575514392108e-004	-7.396389e-003
8.259432657249251e-004	-6.960048e-003
8.527289800106393e-004	-6.323696e-003
8.795146942963537e-004	-5.487334e-003
8.941631317963537e-004	-4.965979e-003
9.088115692963537e-004	-4.416971e-003
9.234600067963536e-004	-3.840311e-003
9.381084442963536e-004	-3.235999e-003
9.527568817963536e-004	-2.604033e-003
9.674053192963536e-004	-1.944416e-003
9.820537567963535e-004	-1.257146e-003
9.946095603677817e-004	-6.632729e-004
1.007165363939210e-003	-7.581588e-005
1.019721167510638e-003	5.052252e-004
1.032276971082066e-003	1.079850e-003
1.044832774653494e-003	1.648059e-003
1.057388578224922e-003	2.209852e-003
1.069944381796350e-003	2.765229e-003
1.087103980010635e-003	3.498066e-003
1.104263578224921e-003	4.170016e-003
1.121423176439206e-003	4.781078e-003
1.138582774653491e-003	5.331254e-003
1.155742372867776e-003	5.820544e-003
1.172901971082061e-003	6.248946e-003
1.190061569296346e-003	6.616461e-003
1.216847283582059e-003	6.995855e-003
1.243632997867773e-003	7.174753e-003
1.270418712153486e-003	7.153154e-003
1.297204426439199e-003	6.931061e-003
1.323990140724913e-003	6.508471e-003
1.350775855010626e-003	5.885385e-003
1.377561569296339e-003	5.061804e-003
1.392210006796339e-003	4.546210e-003
1.406858444296338e-003	4.002279e-003
1.421506881796338e-003	3.430009e-003
1.436155319296337e-003	2.829402e-003
1.450803756796337e-003	2.200456e-003
1.465452194296336e-003	1.543172e-003
1.480100631796336e-003	8.575507e-004
1.492656435367764e-003	2.644078e-004
1.505212238939192e-003	-3.228789e-004
1.517768042510620e-003	-9.043095e-004
1.530323846082048e-003	-1.479884e-003
1.542879649653476e-003	-2.049602e-003
1.555435453224904e-003	-2.613464e-003
1.567991256796332e-003	-3.171470e-003
1.585569381796332e-003	-3.927121e-003
1.603147506796331e-003	-4.619116e-003
1.620725631796331e-003	-5.247453e-003
1.638303756796330e-003	-5.812134e-003
1.655881881796329e-003	-6.313157e-003
1.673460006796329e-003	-6.750523e-003
1.691038131796328e-003	-7.124232e-003
1.718242372867756e-003	-7.498942e-003
1.745446613939183e-003	-7.667689e-003
1.772650855010611e-003	-7.630474e-003
1.799855096082038e-003	-7.387295e-003
1.827059337153466e-003	-6.938153e-003
1.854263578224893e-003	-6.283049e-003
1.881467819296321e-003	-5.421981e-003
1.896116256796321e-003	-4.894943e-003
